,distance_ran,playing_time,trimp_score
Player1,10.604722185547413,94.104,13767.999999999998
Player10,8.58182414799824,83.82533333333335,11279.599999999999
Player11,5.375544544519369,94.104,8620.079999999998
Player12,3.2098232266863533,30.302666666666667,4247.8
Player13,2.3613773116390098,23.363999999999997,3169.96
Player14,1.0936850141675785,10.279333333333334,1436.8400000000001
Player2,9.789208029351151,94.104,12880.44
Player3,9.506200773128535,94.104,12608.200000000003
Player4,7.346796026029732,63.802,9397.68
Player5,11.433887844256208,94.104,14540.12
Player6,10.636262570385163,94.104,13800.88
Player7,11.176021840349364,94.104,14198.6
Player8,8.888877673401629,70.74066666666666,11174.4
Player9,9.295863036371992,94.104,12422.880000000001
