,distance_ran,playing_time,trimp_score
Player1,3.119781281545954,31.137333333333334,4203.04
Player10,8.135910605108839,80.92800000000001,10909.04
Player11,4.057294140477411,96.67066666666666,7847.68
Player12,7.362584334524333,65.534,9486.200000000003
Player13,2.306399773543879,22.772,3018.120000000001
Player14,2.04604978836756,15.743333333333334,2538.96
Player2,10.178595258162588,96.67066666666666,13326.960000000001
Player3,10.087817087583767,96.67066666666666,13344.6
Player4,10.604203650002649,96.67066666666666,13766.080000000002
Player5,11.919048825776331,96.67066666666666,14984.32
Player6,8.637645123061933,73.89933333333333,11100.640000000003
Player7,11.264279797507248,96.67066666666666,14400.879999999997
Player8,12.05257440142075,96.67066666666666,15207.96
Player9,10.525793413422901,96.67066666666666,13781.52
