,distance_ran,playing_time,trimp_score
Player 26,3.718742996054342,35.448,4906.08
Player15,10.273444794023984,94.104,13402.839999999998
Player16,9.227786684566656,94.104,12340.359999999999
Player17,9.344416495217882,94.104,12460.04
Player18,10.452732467927035,94.104,13501.239999999998
Player19,11.651567343442615,94.104,14720.840000000002
Player20,10.660325173732627,94.104,13726.72
Player21,9.346108714882355,94.104,12467.0
Player22,6.5389075497780915,58.656666666666666,8492.000000000002
Player23,9.618894940572813,94.104,12828.56
Player24,9.636757688231373,94.104,12821.919999999996
Player25,3.8093120893001133,94.104,7470.24
