,distance_ran,playing_time,trimp_score
Player15,10.1735123624874,96.67066666666666,13457.160000000002
Player16,9.984635641808964,96.67066666666666,13168.840000000002
Player17,11.628976300017476,96.67066666666666,14813.88
Player18,11.87108191200541,96.67066666666666,15058.68
Player19,9.647464288990157,79.58733333333333,12305.400000000001
Player20,10.15354696210429,96.67066666666666,13349.679999999998
Player21,10.398479572861282,96.67066666666666,13585.04
Player22,8.578820740229391,71.24600000000001,10930.92
Player23,10.28372225167729,96.67066666666666,13450.039999999999
Player24,7.855363868352728,71.066,10220.72
Player25,5.032259461617656,96.67066666666666,8599.44
Player26,2.78768688470541,25.60533333333333,3647.68
Player27,3.169205796951326,25.425333333333334,4001.4400000000005
Player28,2.108229209029058,17.084,2665.92
